TITLE     = ""
VARIABLES = "cycle"
"plunge [mm]"
"pitch [deg]"
"lift [N]"
ZONE T="Run 0881"
 STRANDID=0, SOLUTIONTIME=0
 I=6144, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -8.263999820E-001 2.241200066E+001 2.643820000E+001 2.455208302E-001
 -8.259000182E-001 2.228199959E+001 2.649270058E+001 2.470833361E-001
 -8.253999949E-001 2.215699959E+001 2.653179932E+001 2.485416681E-001
 -8.248999715E-001 2.202639961E+001 2.658060074E+001 2.498958260E-001
 -8.244000077E-001 2.189970016E+001 2.661770058E+001 2.512499988E-001
 -8.238999844E-001 2.176329994E+001 2.666850090E+001 2.523958385E-001
 -8.234000206E-001 2.163349915E+001 2.670960045E+001 2.535416484E-001
 -8.230000138E-001 2.150370026E+001 2.674690056E+001 2.546874881E-001
 -8.224999905E-001 2.136610031E+001 2.679389954E+001 2.556250095E-001
 -8.220000267E-001 2.123410034E+001 2.683119965E+001 2.565625012E-001
 -8.215000033E-001 2.110320091E+001 2.686849976E+001 2.574999928E-001
 -8.209999800E-001 2.096969986E+001 2.691180038E+001 2.582291663E-001
 -8.205000162E-001 2.083349991E+001 2.695310020E+001 2.590624988E-001
 -8.199999928E-001 2.070260048E+001 2.699049950E+001 2.596875131E-001
 -8.195000291E-001 2.056859970E+001 2.703190041E+001 2.603124976E-001
 -8.191000223E-001 2.043549919E+001 2.706940079E+001 2.609374821E-001
 -8.185999990E-001 2.030139923E+001 2.711079979E+001 2.614583075E-001
 -8.180999756E-001 2.016979980E+001 2.714240074E+001 2.619791627E-001
 -8.176000118E-001 2.004080009E+001 2.717210007E+001 2.625000179E-001
 -8.170999885E-001 1.990719986E+001 2.721170044E+001 2.629166842E-001
 -8.166000247E-001 1.977779961E+001 2.724729919E+001 2.634375095E-001
 -8.161000013E-001 1.964360046E+001 2.728499985E+001 2.638541758E-001
 -8.155999780E-001 1.951149940E+001 2.731870079E+001 2.642708123E-001
 -8.151000142E-001 1.937739944E+001 2.736039925E+001 2.646875083E-001
 -8.147000074E-001 1.924530029E+001 2.739410019E+001 2.650000155E-001
 -8.141999841E-001 1.911479950E+001 2.742989922E+001 2.654166520E-001
 -8.137000203E-001 1.898170090E+001 2.746769905E+001 2.658333182E-001
 -8.131999969E-001 1.885210037E+001 2.749959946E+001 2.662500143E-001
 -8.126999736E-001 1.871649933E+001 2.754339981E+001 2.667708397E-001
 -8.122000098E-001 1.858589935E+001 2.757929993E+001 2.671875060E-001
 -8.116999865E-001 1.845229912E+001 2.761919975E+001 2.677083313E-001
 -8.112000227E-001 1.832130051E+001 2.765719986E+001 2.681249976E-001
 -8.106999993E-001 1.818659973E+001 2.769720078E+001 2.686458230E-001
 -8.102999926E-001 1.805699921E+001 2.772920036E+001 2.691666484E-001
 -8.098000288E-001 1.791869926E+001 2.777120018E+001 2.697916627E-001
 -8.093000054E-001 1.778549957E+001 2.780929947E+001 2.704166770E-001
 -8.087999821E-001 1.765320015E+001 2.783939934E+001 2.709375024E-001
 -8.083000183E-001 1.751370049E+001 2.787759972E+001 2.715624869E-001
 -8.077999949E-001 1.737890053E+001 2.790970039E+001 2.722916901E-001
 -8.072999716E-001 1.723830032E+001 2.794790077E+001 2.729166746E-001
 -8.068000078E-001 1.710280037E+001 2.797809982E+001 2.736458182E-001
 -8.064000010E-001 1.696730042E+001 2.800429916E+001 2.743749917E-001
 -8.058999777E-001 1.682769966E+001 2.803849983E+001 2.751041651E-001
 -8.054000139E-001 1.668650055E+001 2.807480049E+001 2.759374976E-001
 -8.048999906E-001 1.655209923E+001 2.810099983E+001 2.767708600E-001
 -8.044000268E-001 1.641390038E+001 2.812929916E+001 2.776041627E-001
 -8.039000034E-001 1.627370071E+001 2.816160011E+001 2.784374952E-001
 -8.033999801E-001 1.613820076E+001 2.818790054E+001 2.792708278E-001
 -8.029000163E-001 1.600110054E+001 2.821629906E+001 2.802083194E-001
 -8.023999929E-001 1.586400032E+001 2.824460030E+001 2.811458409E-001
 -8.019999862E-001 1.572939968E+001 2.826689911E+001 2.819791734E-001
 -8.015000224E-001 1.558920002E+001 2.829929924E+001 2.830208242E-001
 -8.009999990E-001 1.545160007E+001 2.832570076E+001 2.839583158E-001
 -8.004999757E-001 1.531499958E+001 2.835210037E+001 2.848958373E-001
 -8.000000119E-001 1.517879963E+001 2.837649918E+001 2.858333290E-001
 -7.994999886E-001 1.504230022E+001 2.840699959E+001 2.868750095E-001
 -7.990000248E-001 1.490460014E+001 2.843339920E+001 2.878125012E-001
 -7.985000014E-001 1.476389980E+001 2.846800041E+001 2.888541818E-001
 -7.980999947E-001 1.463090038E+001 2.848830032E+001 2.897916734E-001
 -7.975999713E-001 1.448859978E+001 2.852499962E+001 2.907291651E-001
